chr,start,end,name,signalValue ,pValue ,qValue,peak,ann_start,ann_end,gene,product
U00096.3,187062,187634,NA_peak_93,1.31946,12.3723,10.0823,365,185978,188650,gene=glnD,product=protein-PII uridylyltransferase/uridylyl-removing enzyme
U00096.3,192093,192358,NA_peak_94,1.18249,4.49875,3.16989,145,191855,192580,gene=pyrH,product=UMP kinase
U00096.3,193099,193269,NA_peak_95,1.23288,7.39142,5.6139,37,192872,193429,gene=frr,product=ribosome-recycling factor
U00096.3,200655,200802,NA_peak_96,1.16661,4.32203,3.02341,132,200482,200967,gene=skp,product=periplasmic chaperone Skp
U00096.3,201120,201383,NA_peak_97,1.19876,5.89222,4.33804,172,200971,201996,gene=lpxD,product=UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
U00096.3,202834,203205,NA_peak_98,1.31729,13.3312,10.9781,241,202560,203348,gene=lpxA,product=acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
U00096.3,204737,204928,NA_peak_99,1.20796,6.09077,4.50586,114,204493,205089,gene=rnhB,product=RNase HII
U00096.3,206351,206719,NA_peak_100,1.17828,4.83327,3.44877,274,205126,208608,gene=dnaE,product=DNA polymerase III subunit alpha
U00096.3,209044,209271,NA_peak_101,1.30637,11.229,9.02878,139,208621,209580,gene=accA,product=acetyl-CoA carboxyltransferase subunit alpha
U00096.3,212288,212771,NA_peak_102,1.22608,7.43259,5.64874,311,212331,213629,gene=tilS,product=tRNA(Ile)-lysidine synthetase
U00096.3,212998,213158,NA_peak_103,1.29916,11.5146,9.29052,53,212331,213629,gene=tilS,product=tRNA(Ile)-lysidine synthetase
U00096.3,213212,213521,NA_peak_104,1.22314,7.00245,5.28074,36,212331,213629,gene=tilS,product=tRNA(Ile)-lysidine synthetase
U00096.3,217906,218166,NA_peak_105,1.16248,4.04328,2.79228,89,217057,218775,gene=proS,product=proline--tRNA ligase
U00096.3,218512,218687,NA_peak_106,1.27263,9.59638,7.55422,107,217057,218775,gene=proS,product=proline--tRNA ligase
U00096.3,221055,222563,NA_peak_107,1.36319,16.3851,13.861,1258,220968,221621,gene=metI,product=L-methionine/D-methionine ABC transporter membrane subunit
U00096.3,221055,222563,NA_peak_107,1.36319,16.3851,13.861,1258,221614,222645,gene=metN,product=L-methionine/D-methionine ABC transporter ATP binding subunit
U00096.3,228110,228482,NA_peak_108,1.16341,4.5327,3.19858,251,229167,229970,gene=dkgB,product=methylglyoxal reductase DkgB
U00096.3,232787,232997,NA_peak_109,1.15266,3.9548,2.71906,191,232597,233955,gene=mltD,product=membrane-bound lytic murein transglycosylase D
U00096.3,239530,239754,NA_peak_110,1.34652,13.7844,11.4032,72,239419,240189,gene=yafV,product=2-oxoglutaramate amidase
U00096.3,239816,240080,NA_peak_111,1.20672,5.6158,4.10571,157,239419,240189,gene=yafV,product=2-oxoglutaramate amidase
U00096.3,241433,241582,NA_peak_112,1.22849,7.15736,5.41299,73,240859,243303,gene=fadE,product=acyl-CoA dehydrogenase
U00096.3,242157,242372,NA_peak_113,1.23001,7.2768,5.51466,107,240859,243303,gene=fadE,product=acyl-CoA dehydrogenase
U00096.3,242943,243112,NA_peak_114,1.21206,5.53295,4.036,77,240859,243303,gene=fadE,product=acyl-CoA dehydrogenase
U00096.3,244825,245014,NA_peak_115,1.25819,7.80033,5.96827,116,244327,245094,gene=yafJ,product=putative glutamine amidotransferase YafJ
U00096.3,248538,248859,NA_peak_116,1.26755,9.60573,7.56283,248,247637,248134,gene=rayT,product=REP-associated tyrosine transposase
U00096.3,249520,249713,NA_peak_117,1.26707,9.68436,7.63282,118,250898,251953,gene=dinB,product=DNA polymerase IV
U00096.3,253843,254098,NA_peak_118,1.33246,13.282,10.9316,142,254259,255716,gene=pepD,product=peptidase D
U00096.3,256941,257095,NA_peak_119,1.18417,4.82448,3.44127,122,256527,257771,gene=frsA,product=fermentation-respiration switch protein
U00096.3,257249,257473,NA_peak_120,1.2913,9.91723,7.84164,61,256527,257771,gene=frsA,product=fermentation-respiration switch protein
U00096.3,258087,258426,NA_peak_121,1.2097,6.75324,5.06756,224,257923,258426,gene=insB9,product=IS1 family transposase B
U00096.3,258087,258426,NA_peak_121,1.2097,6.75324,5.06756,224,258345,258620,gene=insA9,product=IS1 family repressor TnpA
U00096.3,260410,260634,NA_peak_122,1.33127,12.292,10.008,136,260388,261491,gene=proB,product=glutamate 5-kinase
U00096.3,261610,262030,NA_peak_123,1.42948,22.3931,19.7178,203,261503,262756,gene=proA,product=glutamate-5-semialdehyde dehydrogenase
U00096.3,264501,264785,NA_peak_124,1.26521,8.89819,6.93226,198,264256,264732,gene=ykfG,product=RadC-like JAB domain-containing protein YkfG
U00096.3,264501,264785,NA_peak_124,1.26521,8.89819,6.93226,198,264748,265206,gene=yafX,product=protein YafX
U00096.3,266628,266876,NA_peak_125,1.14274,3.35163,2.22091,193,266110,266553,gene=yafY,product=inner membrane lipoprotein YafY
U00096.3,268616,268779,NA_peak_126,1.14808,3.538,2.37418,61,268097,268960,gene=ykfA,product=putative GTP-binding protein YkfA
U00096.3,272642,272799,NA_peak_127,1.17983,4.87702,3.48497,38,272847,273992,gene=ykfC,product=PF00078 domain-containing protein YkfC
U00096.3,274401,274716,NA_peak_128,1.15772,3.82679,2.61288,281,274101,275081,gene=insH1,product=IS5 family transposase and trans-activator
U00096.3,275471,275707,NA_peak_129,1.37139,15.3189,12.8459,130,275325,276728,gene=mmuP,product=S-methyl-L-methionine transporter
U00096.3,276766,277581,NA_peak_130,1.2941,11.9034,9.64837,498,276715,277647,gene=mmuM,product=homocysteine S-methyltransferase
U00096.3,278110,278268,NA_peak_131,1.16725,4.24345,2.95805,130,277756,278802,gene=afuC,product=ABC transporter ATP-binding protein AfuC
U00096.3,279399,279587,NA_peak_132,1.13823,3.44997,2.3012,92,279178,279681,gene=insB2,product=IS1 family protein InsB
U00096.3,281144,281421,NA_peak_133,1.1248,3.04085,1.96499,189,280829,281983,gene=yagA,product=integrase core domain-containing protein YagA
U00096.3,281645,281874,NA_peak_134,1.27224,9.85344,7.78391,113,280829,281983,gene=yagA,product=integrase core domain-containing protein YagA
U00096.3,282333,282574,NA_peak_135,1.22949,7.39937,5.62103,131,282278,283186,gene=yagE,product=putative 2-dehydro-3-deoxygluconate aldolase
U00096.3,282770,282984,NA_peak_136,1.22206,7.24135,5.48424,85,282278,283186,gene=yagE,product=putative 2-dehydro-3-deoxygluconate aldolase
U00096.3,283326,283888,NA_peak_137,1.39123,21.0057,18.3539,352,283201,285168,gene=yagF,product=D-xylonate dehydratase
U00096.3,284050,284982,NA_peak_138,1.23102,8.79051,6.83766,229,283201,285168,gene=yagF,product=D-xylonate dehydratase
U00096.3,285727,286095,NA_peak_139,1.27797,11.4004,9.18549,70,285395,286777,gene=yagG,product=putative D-xylonate transporter YagG
U00096.3,287293,287971,NA_peak_140,1.24103,8.87244,6.90936,592,286789,288399,gene=yagH,product=putative xylosidase/arabinosidase
U00096.3,288078,288287,NA_peak_141,1.36331,17.9277,15.3447,161,286789,288399,gene=yagH,product=putative xylosidase/arabinosidase
U00096.3,288425,288739,NA_peak_142,1.35559,16.7696,14.2295,53,288404,289162,gene=xynR,product=DNA-binding transcriptional repressor XynR
U00096.3,289393,289545,NA_peak_143,1.29571,10.6969,8.5444,66,289301,290305,gene=argF,product=ornithine carbamoyltransferase ArgF
U00096.3,289626,290052,NA_peak_144,1.31249,13.3472,10.9926,190,289301,290305,gene=argF,product=ornithine carbamoyltransferase ArgF
U00096.3,290827,291080,NA_peak_145,1.26827,9.31508,7.30416,73,290649,291152,gene=insB3,product=IS1 family protein InsB
U00096.3,290827,291080,NA_peak_145,1.26827,9.31508,7.30416,73,291071,291346,gene=insA3,product=IS1 family protein InsA
U00096.3,298343,298630,NA_peak_146,1.28671,11.0041,8.8236,155,297770,298726,gene=paoD,product=molybdenum cofactor insertion chaperone PaoD
U00096.3,299041,299213,NA_peak_147,1.12787,3.00847,1.9387,112,298736,300934,gene=paoC,product=aldehyde dehydrogenase: molybdenum cofactor-binding subunit
U00096.3,299274,299526,NA_peak_148,1.13443,3.30998,2.18613,196,298736,300934,gene=paoC,product=aldehyde dehydrogenase: molybdenum cofactor-binding subunit
U00096.3,299579,300015,NA_peak_149,1.38994,18.5469,15.9455,259,298736,300934,gene=paoC,product=aldehyde dehydrogenase: molybdenum cofactor-binding subunit
U00096.3,301010,301203,NA_peak_150,1.29589,10.3522,8.23235,50,300931,301887,gene=paoB,product=aldehyde dehydrogenase%2C FAD-binding subunit
U00096.3,305106,305557,NA_peak_151,1.38933,17.9489,15.3652,258,304495,305205,gene=ecpE,product=putative fimbrial chaperone EcpE
U00096.3,305106,305557,NA_peak_151,1.38933,17.9489,15.3652,258,305174,306817,gene=ecpD,product=fimbrial adhesin EcpD
U00096.3,307328,307546,NA_peak_152,1.26798,9.41761,7.39527,69,306807,309332,gene=ecpC,product=putative fimbrial usher protein EcpC
U00096.3,313168,313608,NA_peak_153,2.48014,165.395,161.868,143,313141,313242,gene=ykgR,product=putative membrane protein YkgR
U00096.3,315957,316149,NA_peak_154,1.16054,3.7123,2.51787,36,315587,316453,gene=insF1,product=IS3 element protein InsF
U00096.3,323858,324026,NA_peak_155,1.28204,9.65299,7.60506,68,323758,324453,gene=ykgG,product=DUF162 domain-containing lactate utilization protein YkgG
U00096.3,325723,325901,NA_peak_156,1.20992,6.1779,4.57945,142,325577,327247,gene=betA,product=choline dehydrogenase
U00096.3,326550,327002,NA_peak_157,1.2929,11.1594,8.96495,203,325577,327247,gene=betA,product=choline dehydrogenase
U00096.3,327467,327752,NA_peak_158,1.13182,3.17677,2.07663,214,327261,328733,gene=betB,product=betaine aldehyde dehydrogenase
U00096.3,328872,329025,NA_peak_159,1.26153,8.86856,6.90581,68,328747,329334,gene=betI,product=DNA-binding transcriptional repressor BetI
U00096.3,330557,330753,NA_peak_160,1.21581,6.23797,4.63108,66,329463,331496,gene=betT,product=choline:H(+) symporter
U00096.3,337632,337895,NA_peak_161,1.20427,5.80292,4.26275,146,336778,338325,gene=yahF,product=putative acyl-CoA synthetase YahF
U00096.3,339224,339435,NA_peak_162,1.26938,9.76621,7.7061,102,338325,339743,gene=yahG,product=DUF1116 domain-containing protein YahG
U00096.3,341308,341471,NA_peak_163,1.19048,5.28867,3.82988,57,341125,342507,gene=yahJ,product=amidohydrolase family protein YahJ
U00096.3,343212,343404,NA_peak_164,1.16053,3.88608,2.662,161,342884,343933,gene=yahK,product=aldehyde reductase%2C NADPH-dependent
U00096.3,348919,349470,NA_peak_165,1.21818,6.48852,4.84259,343,348682,349572,gene=prpB,product=2-methylisocitrate lyase
U00096.3,349669,349915,NA_peak_166,1.24509,8.20521,6.322,104,348682,349572,gene=prpB,product=2-methylisocitrate lyase
U00096.3,349669,349915,NA_peak_166,1.24509,8.20521,6.322,104,350012,351181,gene=prpC,product=2-methylcitrate synthase
U00096.3,350159,350415,NA_peak_167,1.20624,6.1908,4.59077,127,350012,351181,gene=prpC,product=2-methylcitrate synthase
U00096.3,350465,350682,NA_peak_168,1.11145,2.37931,1.42473,0,350012,351181,gene=prpC,product=2-methylcitrate synthase
U00096.3,351473,351944,NA_peak_169,1.26896,8.85012,6.88948,366,351215,352666,gene=prpD,product=2-methylcitrate dehydratase
U00096.3,352803,353038,NA_peak_170,1.25362,8.02871,6.16765,129,352706,354592,gene=prpE,product=propionyl-CoA synthetase
U00096.3,353277,353585,NA_peak_171,1.23434,7.35658,5.58369,161,352706,354592,gene=prpE,product=propionyl-CoA synthetase
U00096.3,353816,354157,NA_peak_172,1.21945,7.10188,5.36588,117,352706,354592,gene=prpE,product=propionyl-CoA synthetase
U00096.3,354360,354647,NA_peak_173,1.10469,2.34328,1.39602,88,352706,354592,gene=prpE,product=propionyl-CoA synthetase
U00096.3,355439,355676,NA_peak_174,1.18902,5.0457,3.62634,101,354922,356181,gene=codB,product=cytosine transporter
U00096.3,358310,358558,NA_peak_175,1.17231,4.17372,2.90027,198,357791,358690,gene=cynR,product=DNA-binding transcriptional dual regulator CynR
U00096.3,359105,359365,NA_peak_176,1.27903,9.50221,7.47069,166,358799,359458,gene=cynT,product=carbonic anhydrase 1
U00096.3,360025,360245,NA_peak_177,1.16445,4.40438,3.09135,171,359992,361146,gene=cynX,product=cyanate transporter
U00096.3,360734,361047,NA_peak_178,1.24391,8.12135,6.24885,103,359992,361146,gene=cynX,product=cyanate transporter
U00096.3,364109,364374,NA_peak_179,1.26645,9.2847,7.27669,142,363231,366305,gene=lacZ,product=beta-galactosidase
U00096.3,364859,365424,NA_peak_180,1.33796,13.3212,10.9687,82,363231,366305,gene=lacZ,product=beta-galactosidase
U00096.3,367168,367419,NA_peak_181,1.18052,4.72891,3.36177,102,366428,367510,gene=lacI,product=DNA-binding transcriptional repressor LacI
U00096.3,368752,368976,NA_peak_182,1.23584,7.28522,5.52194,105,368611,370275,gene=mhpA,product=3-(3-hydroxyphenyl)propanoate hydroxylase
U00096.3,369595,370586,NA_peak_183,1.16011,4.29096,2.99812,132,368611,370275,gene=mhpA,product=3-(3-hydroxyphenyl)propanoate hydroxylase
U00096.3,369595,370586,NA_peak_183,1.16011,4.29096,2.99812,132,370277,371221,gene=mhpB,product=3-carboxyethylcatechol 2%2C3-dioxygenase
U00096.3,371960,372288,NA_peak_184,1.11912,2.65959,1.65464,208,371239,372105,gene=mhpC,product=2-hydroxy-6-ketonona-2%2C4-dienedioate hydrolase
U00096.3,371960,372288,NA_peak_184,1.11912,2.65959,1.65464,208,372115,372924,gene=mhpD,product=2-hydroxypentadienoate hydratase
